Agent,Agent Hierarchy Level Two,Routing Profile,StartInterval,EndInterval,Agent on contact time,Occupancy,Online time,Manager Approved time,Training time,Break time,Huddle time,Personal time,Meeting time,Project time,Lunch time,Lead Approved time,Leadership approved time,Unproductive time,Engagement time,Service level 20 seconds,Agent interaction time,Average handle time,Contacts handled
grajenn,Tenured,General Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,1782,99.00%,1800,,,,,,,,,,,,,96.67%,1626,64,30
grajenn,Tenured,General Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,1552,86.22%,1800,,,,,,,,,,,,,100.00%,1298,54,27
grajenn,Tenured,General Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,723,79.01%,1800,,,885,,,,,,,,,,100.00%,653,103,7
grajenn,Tenured,General Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,1485,82.50%,1800,,,,,,,,,,,,,100.00%,1228,92,17
grajenn,Tenured,General Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,1610,89.44%,1800,,,,,,,,,,,,,100.00%,1047,54,28
juliver,Tenured,General Queue,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,1538,85.44%,1800,,,,,,,,,,,,,100.00%,1089,61,25
juliver,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,1782,99.00%,1800,,,,,,,,,,,,,100.00%,1644,73,25
juliver,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,1050,96.77%,1800,,,120,595,,,,,,,,,100.00%,980,51,22
juliver,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,909,90.44%,1800,,,795,,,,,,,,,,100.00%,771,46,20
juliver,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,1584,88.00%,1800,,,,,,,,,,,,,100.00%,1211,42,35
juliver,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,1365,79.27%,1800,,,,,78,,,,,,,,100.00%,1139,60,22
juliver,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1697,94.28%,1800,,,,,,,,,,,,,100.00%,1309,65,27
juliver,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,1278,90.13%,1800,,,,,382,,,,,,,,100.00%,1176,60,22
juliver,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,,,1800,,,,,118,,,1740,,,,,,,,
juliver,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,1613,90.22%,1800,,,,,,,,12,,,,,100.00%,1531,68,24
juliver,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1353,75.17%,1800,,,,,,,,,,,,,100.00%,1021,78,18
juliver,Tenured,General Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,1479,82.17%,1800,,,,,,,,,,,,,100.00%,1350,57,24
juliver,Tenured,General Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,1293,71.83%,1800,,,,,,,,,,,,,100.00%,1137,50,24
juliver,Tenured,General Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,1364,86.55%,1800,,,120,,104,,,,,,,,100.00%,1258,43,29
juliver,Tenured,General Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,334,82.96%,1800,,,821,,,,,,576,,,,100.00%,254,64,5
juliver,Tenured,General Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,1401,77.83%,1800,,,,,,,,,,,,,100.00%,973,79,19
umbquim,Tenured,General Queue,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,1097,76.98%,1800,,,,,375,,,,,,,,100.00%,897,159,7
umbquim,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,1680,93.33%,1800,,,,,,,,,,,,,100.00%,1323,195,9
umbquim,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,1241,90.58%,1800,,,,430,,,,,,,,,100.00%,1076,186,7
umbquim,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,664,72.64%,1800,,,886,,,,,,,,,,100.00%,483,137,5
umbquim,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,822,89.25%,1237,,,,,316,,,,,,,,100.00%,682,205,4
umbquim,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,1479,82.17%,1800,,,,,,,,,,,,,100.00%,1225,261,6
umbquim,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1240,68.89%,1800,,,,,,,,,,,,,100.00%,985,152,8
umbquim,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,1448,80.44%,1800,,,,,,,,,,,,,100.00%,1217,174,8
umbquim,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,1565,86.94%,1800,,,,,,,,,,,,,100.00%,1131,231,7
umbquim,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,46,76.67%,1800,,,,,,,,1740,,,,,100.00%,33,46,1
umbquim,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1208,70.40%,1800,,,,,,,,84,,,,,100.00%,1058,247,5
umbquim,Tenured,General Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,1389,77.17%,1800,,,,,,,,,,,,,100.00%,1041,236,6
umbquim,Tenured,General Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,1286,71.44%,1800,,,,,,,,,,,,,100.00%,1039,164,8
umbquim,Tenured,General Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,773,65.84%,1800,,,120,,,,,,506,,,,100.00%,672,149,5
umbquim,Tenured,General Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,762,76.86%,1800,,,809,,,,,,,,,,100.00%,717,184,4
umbquim,Tenured,General Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,1613,89.61%,1800,,,,,,,,,,,,,100.00%,1464,249,7
quioakr,Tenured,General Queue,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,1158,74.33%,1558,,,,,,,,,,,,,100.00%,831,137,9
quioakr,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,1325,85.87%,1800,,,,,257,,,,,,,,100.00%,1085,129,11
quioakr,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,1499,83.28%,1800,,,,,,,,,,,,,100.00%,1148,99,14
quioakr,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,1426,79.22%,1800,,,,,,,,,,,,,100.00%,1025,139,10
quioakr,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,729,75.94%,1800,,,840,,,,,,,,,,100.00%,545,122,6
quioakr,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,984,67.33%,1800,,,121,,218,,,,,,,,100.00%,911,118,8
quioakr,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1545,85.83%,1800,,,,,,,,,,,,,100.00%,1122,132,12
quioakr,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,1227,68.17%,1800,,,,,,,,,,,,,100.00%,1101,162,7
quioakr,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,1309,77.92%,1800,,,,,,,,120,,,,,100.00%,1095,163,8
quioakr,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,93,75.12%,1800,,,,,,,,1676,,,,,100.00%,76,96,1
quioakr,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1508,83.78%,1800,,,,,,,,,,,,,91.67%,1107,118,12
quioakr,Tenured,General Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,1405,78.06%,1800,,,,,,,,,,,,,100.00%,956,170,8
quioakr,Tenured,General Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,984,67.08%,1800,,,,,333,,,,,,,,83.33%,725,153,6
quioakr,Tenured,General Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,1259,69.94%,1800,,,,,,,,,,,,,91.67%,890,99,12
quioakr,Tenured,General Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,1376,76.44%,1800,,,,,,,,,,,,,100.00%,1135,99,13
quioakr,Tenured,General Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,786,89.20%,1800,,,919,,,,,,,,,,100.00%,561,126,6
caswhit,Tenured,General Queue,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,1027,57.06%,1800,,,,,,,,,,,,,100.00%,826,64,15
caswhit,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,802,67.23%,1193,,,,,,,,,,,,,100.00%,567,120,7
caswhit,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,559,53.54%,1800,,,,381,375,,,,,,,,100.00%,453,75,8
caswhit,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,912,50.67%,1800,,,,,,,,,,,,,100.00%,740,75,13
caswhit,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,938,52.11%,1800,,,,,,,,,,,,,100.00%,696,104,9
caswhit,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,840,46.67%,1800,,,,,,,,,,,,,100.00%,593,113,8
caswhit,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,687,38.17%,1800,,,,,,,,,,,,,100.00%,596,110,6
caswhit,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,102,56.67%,1800,,,,,,,,1620,,,,,100.00%,88,48,2
caswhit,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,902,55.60%,1800,,,,,,,,178,,,,,100.00%,779,66,14
caswhit,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,1140,69.30%,1800,,,,,155,,,,,,,,100.00%,780,62,17
caswhit,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,571,45.50%,1800,,,,,,,,,545,,,,100.00%,528,79,7
caswhit,Tenured,General Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,948,66.48%,1800,,,,,374,,,,,,,,100.00%,869,101,9
caswhit,Tenured,General Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,1105,61.39%,1800,,,,,,,,,,,,,100.00%,930,67,17
caswhit,Tenured,General Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,770,44.33%,1800,,,,,63,,,,,,,,100.00%,558,62,13
caswhit,Tenured,General Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,951,54.66%,1800,,,60,,,,,,,,,,75.00%,848,113,8
caswhit,Tenured,General Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,411,60.15%,1800,,,872,,245,,,,,,,,100.00%,319,106,4
aveunde,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,1127,79.31%,1800,,,,,379,,,,,,,,100.00%,841,136,8
aveunde,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,1316,79.18%,1800,,,,,138,,,,,,,,100.00%,1117,94,13
aveunde,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1100,71.90%,1800,,,,,270,,,,,,,,100.00%,871,108,10
aveunde,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,1508,83.78%,1800,,,,,,,,,,,,,100.00%,1185,149,10
aveunde,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,1479,82.17%,1800,,,,,,,,,,,,,100.00%,1146,137,11
aveunde,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,102,85.00%,1800,,,,,,,,1680,,,,,100.00%,86,105,1
aveunde,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1244,75.81%,1800,,,,,,,,159,,,,,90.91%,930,113,11
aveunde,Tenured,General Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,1530,85.00%,1800,,,,,,,,,,,,,100.00%,1438,76,19
aveunde,Tenured,General Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,1192,99.00%,1800,,,,,,,,,596,,,,84.62%,973,96,13
aveunde,Tenured,General Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,1555,86.39%,1800,,,,,,,,,,,,,92.31%,1069,121,13
aveunde,Tenured,General Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,721,90.35%,1800,,,881,,121,,,,,,,,100.00%,511,154,5
aveunde,Tenured,General Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,1323,73.50%,1800,,,,,,,,,,,,,85.71%,990,94,14
morvant,Tenured,General Queue,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,1100,65.48%,1800,,,,,,,,120,,,,,100.00%,902,71,15
morvant,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,116,76.14%,1800,,,,,,,,1648,,,,,100.00%,91,125,1
morvant,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,1438,96.45%,1800,,,,309,,,,,,,,,100.00%,1055,86,18
morvant,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,1097,79.09%,1800,,,,,413,,,,,,,,100.00%,856,122,9
morvant,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,1053,66.14%,1800,,,,,208,,,,,,,,100.00%,929,76,13
morvant,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,597,64.75%,1042,,,120,,,,,,,,,,60.00%,414,128,5
morvant,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,531,85.93%,1800,370,,812,,,,,,,,,,100.00%,408,80,7
morvant,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,1464,81.33%,1800,,,,,,,,,,,,,100.00%,1336,68,20
finmerr,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,,,1800,,,,489,,,,1680,,,,,,,,
finmerr,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,1164,84.39%,1800,,,,,347,,,74,,,,,100.00%,950,73,15
finmerr,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,1410,78.33%,1800,,,,,,,,,,,,,100.00%,917,66,22
finmerr,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,748,81.25%,1800,,,879,,,,,,,,,,100.00%,495,79,9
finmerr,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1573,87.39%,1800,,,,,,,,,,,,,100.00%,1281,65,24
finmerr,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,1470,81.67%,1800,,,,,,,,,,,,,100.00%,1039,91,17
finmerr,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,1074,77.38%,1800,,,,,412,,,,,,,,81.82%,895,94,11
finmerr,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,1064,59.11%,1800,,,,,,,,,,,,,100.00%,814,98,10
finmerr,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1297,73.65%,1800,,,,,39,,,,,,,,94.74%,1076,74,19
reethor,Tenured,General Queue,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,1035,69.00%,1800,,,,,300,,,,,,,,100.00%,826,90,11
reethor,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,1506,91.27%,1800,,,,,150,,,,,,,,100.00%,1065,85,18
reethor,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,54,90.00%,1800,,,,,,,,1740,,,,,100.00%,38,55,1
reethor,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,1476,82.78%,1800,,,,,,,,17,,,,,100.00%,1230,91,17
reethor,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,1507,83.72%,1800,,,,,,,,,,,,,100.00%,1275,73,20
reethor,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,830,76.85%,1800,,,720,,,,,,,,,,100.00%,548,101,8
reethor,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1182,72.52%,1800,,,170,,,,,,,,,,100.00%,860,129,9
reethor,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,1355,77.83%,1800,,,,,59,,,,,,,,100.00%,1221,82,16
reethor,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,736,64.67%,1800,,,,,414,,,,248,,,,100.00%,497,130,6
reethor,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,485,83.48%,581,,,,,,,,,,,,,100.00%,447,105,5
reethor,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,979,69.48%,1800,,,,,,,,,391,,,,100.00%,778,91,11
blaster,Tenured,General Queue,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,754,80.78%,1800,,,867,,,,,,,,,,84.62%,614,58,13
blaster,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,1214,83.67%,1800,,,,,,,,,,,349,,100.00%,854,63,19
blaster,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,1133,86.82%,1800,,,,416,79,,,,,,,,100.00%,899,57,21
blaster,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,1616,89.78%,1800,,,,,,,,,,,,,100.00%,1482,81,19
blaster,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,1452,80.67%,1800,,,,,,,,,,,,,100.00%,1147,82,19
blaster,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,1529,84.94%,1800,,,,,,,,,,,,,100.00%,1158,54,27
blaster,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1321,81.59%,1800,,,,,181,,,,,,,,100.00%,955,73,17
blaster,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,92,76.67%,1800,,,,,,,,1680,,,,,100.00%,66,95,1
blaster,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,1271,82.08%,1800,,,,,119,,,132,,,,,100.00%,1161,90,15
blaster,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,1503,83.50%,1800,,,,,,,,,,,,,100.00%,1150,90,17
blaster,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1442,80.11%,1800,,,,,,,,,,,,,100.00%,963,64,22
blaster,Tenured,General Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,1581,87.83%,1800,,,,,,,,,,,,,100.00%,1302,80,19
blaster,Tenured,General Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,1473,81.83%,1800,,,,,,,,,,,,,100.00%,1086,64,22
blaster,Tenured,General Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,1464,81.33%,1800,,,,,,,,,,,,,100.00%,1214,64,24
blaster,Tenured,General Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,438,84.56%,518,,,,,,,,,,,,,85.71%,354,66,7
blaster,Tenured,General Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,690,75.29%,1800,,,884,,,,,,,,,,100.00%,559,92,8
parrave,Tenured,General Queue,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,1179,80.92%,1680,,,,,223,,,,,,,,100.00%,1054,134,9
parrave,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,1508,86.07%,1800,,,,,,,,,,,48,,100.00%,1283,125,12
parrave,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,1553,86.28%,1800,,,,,,,,,,,,,100.00%,1378,132,12
parrave,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,1773,98.50%,1800,,,,,,,,,,,,,91.67%,1205,141,12
parrave,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,1421,86.91%,1800,,,,,165,,,,,,,,77.78%,978,162,9
parrave,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,1317,73.17%,1800,,,,,,,,,,,,,100.00%,860,126,11
parrave,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1468,81.56%,1800,,,,,,,,,,,,,100.00%,1250,238,6
parrave,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,1289,76.73%,1800,,,,,,,,120,,,,,83.33%,864,202,6
parrave,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,,,1800,,,,,158,,,1678,,,,,,,,
parrave,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,1537,85.39%,1800,,,,,,,,,,,,,100.00%,1209,159,10
parrave,Tenured,Specialty Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1480,82.22%,1800,,,,,,,,,,,,,100.00%,1230,215,7
parrave,Tenured,Specialty Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,1389,85.53%,1800,,,,,176,,,,,,,,100.00%,1248,221,6
parrave,Tenured,Specialty Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,1531,85.06%,1800,,,,,,,,,,,,,71.43%,1190,201,7
parrave,Tenured,Specialty Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,672,71.44%,1800,,,859,,,,,,,,,,100.00%,555,161,4
parrave,Tenured,Specialty Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,1173,80.90%,1800,,,,,,,,,,,350,,100.00%,924,239,5
parrave,Tenured,Specialty Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,1457,80.94%,1800,,,,,,,,,,,,,100.00%,984,192,7
indfair,Tenured,General Queue,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,1782,99.00%,1800,,,,,,,,,,,,,100.00%,1568,198,9
indfair,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,1782,99.00%,1800,,,,,,,,,,,,,100.00%,1259,146,12
indfair,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,1657,95.23%,1800,,,60,,,,,,,,,,100.00%,1390,213,8
indfair,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,935,97.02%,1800,,,836,,,,,,,,,,100.00%,834,153,6
